Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000018638,2000.23492,2000,3,27,5,10,46,124.72,11.66,7.0,4.4,POINT (13883766.89173708 1307038.376646629)
PIVS,3000018640,2000.236248,2000,3,27,16,52,25,125.29,10.93,104.0,4.3,POINT (13947219.001489248 1224169.5306958267)
ISCBUL,2535665,2000.241832,2000,3,29,18,3,32,125.09,10.09,33.0,4.9,POINT (13924955.103330592 1129064.6977767684)
ISCBUL,2535809,2000.320767,2000,4,27,17,19,8,124.77,10.44,3.0,5.0,POINT (13889332.866276743 1168660.348995324)
ISCGEM,2000001645,2000.350913,2000,5,8,18,50,42,124.8,10.96,15.0,5.6,POINT (13892672.451000541 1227570.988333442)
ISCBUL,301509310,2000.610746,2000,8,12,3,26,49,125.4,10.31,35.0,4.3,POINT (13959464.145476507 1153948.2715247364)
PIVS,3000019140,2000.908335,2000,11,29,8,37,8,125.28,10.65,15.0,4.3,POINT (13946105.806581313 1192439.0430787436)
PIVS,3000019320,2001.021201,2001,1,8,17,43,25,124.35,11.45,1.0,4.9,POINT (13842578.680143569 1283177.681682396)
ISCBUL,3454068,2001.147245,2001,2,23,17,51,57,125.22,10.34,22.0,4.4,POINT (13939426.637133716 1157342.824533574)
ISCBUL,3454323,2001.205838,2001,3,17,3,8,12,124.14,11.99,27.0,4.8,POINT (13819201.587076982 1344570.3651684555)
ISCBUL,3454419,2001.228851,2001,3,25,12,43,51,124.63,11.1,1.0,5.5,POINT (13873748.137565685 1243449.0341084236)
ISCBUL,3454917,2001.403329,2001,5,28,5,9,52,124.12,11.28,16.0,4.6,POINT (13816975.197261117 1263874.8659949654)
PIVS,3000019806,2001.683943,2001,9,7,15,20,39,125.01,10.57,19.0,5.0,POINT (13916049.54406713 1183378.578346907)
ISCBUL,3455833,2001.684044,2001,9,7,16,13,36,124.87,10.2,8.0,4.8,POINT (13900464.815356072 1141504.335717432)
ISCBUL,3344542,2001.854279,2001,11,8,19,28,48,124.89,11.54,0.0,4.1,POINT (13902691.205171935 1293401.5054129816)
ISCBUL,3456655,2001.972457,2001,12,21,22,43,37,124.93,11.01,44.0,4.4,POINT (13907143.98480367 1233240.8513768238)
PIVS,3000019972,2001.998937,2001,12,31,14,41,3,124.33,11.49,1.0,5.3,POINT (13840352.290327704 1287721.200206286)
ISCBUL,4282793,2002.100168,2002,2,6,13,28,25,125.3,10.44,12.0,4.9,POINT (13948332.196397178 1168660.348995324)
ISCBUL,4283745,2002.389969,2002,5,23,8,7,42,124.8,10.25,74.0,4.8,POINT (13892672.451000541 1147160.1344465264)
ISCBUL,4283769,2002.407308,2002,5,29,16,1,12,124.72,11.3,30.0,4.9,POINT (13883766.89173708 1266145.1892046686)
ISCBUL,4283925,2002.485989,2002,6,27,9,15,34,125.16,10.31,1.0,4.9,POINT (13932747.46768612 1153948.2715247364)
ISCBUL,4284321,2002.694373,2002,9,11,10,42,31,124.96,10.71,10.0,4.9,POINT (13910483.569527464 1199235.951991461)
ISCBUL,4284330,2002.700251,2002,9,13,14,11,54,124.17,11.16,15.0,4.9,POINT (13822541.171800781 1250256.2356010065)
PIVS,3000020625,2002.851202,2002,11,7,16,31,48,125.17,10.02,2.0,4.1,POINT (13933860.662594052 1121150.7799480155)
ISCBUL,4285300,2003.153803,2003,2,26,3,18,56,124.55,11.34,5.0,4.9,POINT (13864842.578302221 1270686.311006206)
ISCGEM,2000001774,2003.389316,2003,5,23,2,24,45,124.16,11.86,17.5,5.6,POINT (13821427.976892846 1329779.6278759574)
PIVS,3000021159,2003.574429,2003,7,29,16,0,6,124.8,10.15,16.0,5.0,POINT (13892672.451000541 1135849.424976189)
ISCBUL,301634513,2003.667577,2003,9,1,15,58,34,124.6,10.81,200.0,4.1,POINT (13870408.552841885 1210567.1292920122)
PIVS,3000021305,2003.820639,2003,10,27,12,47,57,124.99,10.48,1.0,5.1,POINT (13913823.154251263 1173188.3759632967)
ISCBUL,5538990,2004.083757,2004,1,31,17,43,39,124.72,10.98,1.0,4.8,POINT (13883766.89173708 1229838.818318008)
ISCBUL,301656344,2004.237631,2004,3,28,5,3,16,124.39,11.27,9.13,5.6,POINT (13847031.459775299 1262739.7636821903)
PIVS,3000021709,2004.315188,2004,4,25,16,10,48,125.35,10.69,116.0,5.3,POINT (13953898.170936842 1196970.1664899823)
ISCBUL,301658212,2004.32211,2004,4,28,5,8,46,125.29,10.07,16.95,5.3,POINT (13947219.001489248 1126803.4033648113)
ISCBUL,5540019,2004.322911,2004,4,28,12,12,3,124.87,10.31,6.0,4.9,POINT (13900464.815356072 1153948.2715247364)
ISCBUL,5540517,2004.426863,2004,6,5,15,48,48,124.57,10.59,3.0,4.6,POINT (13867068.968118086 1185643.4725071313)
ISCBUL,5540677,2004.455471,2004,6,16,3,47,5,124.21,11.75,20.0,4.7,POINT (13826993.951432507 1317269.89523635)
ISCBUL,301662578,2004.504639,2004,7,4,4,51,21,124.77,11.01,9.58,4.7,POINT (13889332.866276743 1233240.8513768238)
ISCBUL,6332573,2004.871437,2004,11,15,19,36,50,124.5,11.96,17.0,4.9,POINT (13859276.603762558 1341156.4883888415)
ISCBUL,6332807,2004.926037,2004,12,5,20,31,58,125.0,10.22,11.0,4.3,POINT (13914936.349159198 1143766.5483937112)
ISCBUL,6333039,2004.990323,2004,12,29,10,45,52,124.95,10.69,4.0,5.0,POINT (13909370.374619534 1196970.1664899823)
ISCBUL,301696813,2005.002749,2005,1,2,0,4,51,125.53,10.03,190.67,5.0,POINT (13973935.679279631 1122281.2347648616)
ISCBUL,7415144,2005.036618,2005,1,14,8,46,40,125.3,10.51,4.0,5.0,POINT (13948332.196397178 1176584.7798239964)
ISCBUL,7415216,2005.048355,2005,1,18,15,35,28,125.01,11.07,1.0,4.3,POINT (13916049.54406713 1240045.958268184)
ISCBUL,7415696,2005.119633,2005,2,13,15,59,5,124.52,11.48,21.0,4.6,POINT (13861502.993578423 1286585.2602175798)
ISCBUL,7416275,2005.19743,2005,3,14,1,28,58,124.2,11.17,32.0,4.3,POINT (13825880.756524578 1251390.9057042312)
