Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
ISCBUL,603900116,2011.554186,2011,7,22,6,39,57,125.12,11.27,184.96,4.3,POINT (13928294.688054388 1262739.7636821903)
PIVS,3000030074,2011.61434,2011,8,13,5,37,15,125.41,11.62,30.0,5.1,POINT (13960577.340384439 1302492.101086989)
ISCBUL,601887905,2011.764441,2011,10,7,0,30,14,125.4,11.2,10.0,4.3,POINT (13959464.145476507 1254795.1507951724)
ISCBUL,604899029,2012.176245,2012,3,5,16,21,56,125.23,10.92,107.0,4.6,POINT (13940539.83204165 1223035.7879585926)
ISCBUL,605417064,2012.42231,2012,6,3,23,42,9,125.61,10.92,13.0,4.7,POINT (13982841.238543093 1223035.7879585926)
PIVS,3000031757,2012.677044,2012,9,5,11,24,19,125.24,10.81,8.0,5.1,POINT (13941653.02694958 1210567.1292920122)
ISCBUL,603152071,2013.013464,2013,1,5,21,56,40,125.84,10.88,0.0,4.2,POINT (14008444.721425546 1218501.198396638)
PIVS,3000032526,2013.050891,2013,1,19,13,48,4,125.45,11.4,52.0,5.8,POINT (13965030.12001617 1277499.1866471162)
PIVS,3000032711,2013.187832,2013,3,10,13,24,31,125.2,10.87,3.0,4.3,POINT (13937200.24731785 1217367.6461674245)
ISCBUL,607731018,2013.366938,2013,5,14,22,22,25,125.22,10.98,26.0,4.3,POINT (13939426.637133716 1229838.818318008)
ISCBUL,607731742,2013.4264,2013,6,5,15,15,57,126.03,11.19,9.0,4.7,POINT (14029595.424676267 1253660.3632640482)
PIVS,3000033186,2013.493625,2013,6,30,4,9,14,125.83,11.71,1.0,4.2,POINT (14007331.526517615 1312722.1424994597)
PIVS,3000033624,2013.753524,2013,10,3,0,52,4,125.69,10.7,25.0,5.2,POINT (13991746.797806554 1198103.040560261)
ISCBUL,610564520,2014.119019,2014,2,13,10,36,27,125.51,11.05,73.58,4.8,POINT (13971709.289463766 1237777.4347687596)
ISCBUL,610331671,2014.311515,2014,4,24,16,52,18,125.27,11.56,24.0,4.9,POINT (13944992.61167338 1295673.9106514426)
ISCBUL,611762918,2014.611445,2014,8,12,4,15,35,125.51,10.75,1.49,4.6,POINT (13971709.289463766 1203767.9720651004)
ISCBUL,611540244,2014.845324,2014,11,5,13,2,16,125.37,11.41,32.0,4.5,POINT (13956124.560752708 1278634.8055764982)
ISCGEM,2000002413,2014.969911,2014,12,21,0,25,21,125.96,11.52,17.5,5.6,POINT (14021803.060320739 1291129.2621277738)
ISCBUL,613503349,2015.272361,2015,4,10,9,52,42,125.38,10.98,100.53,4.8,POINT (13957237.755660638 1229838.818318008)
ISCBUL,613773756,2015.540115,2015,7,17,3,24,42,125.79,10.89,35.0,4.4,POINT (14002878.746885883 1219634.7886532734)
PIVS,3000037322,2015.720321,2015,9,20,22,0,29,125.3,11.37,66.0,4.3,POINT (13948332.196397178 1274092.569493434)
PIVS,3000037439,2015.812542,2015,10,24,13,52,3,125.34,10.94,1.0,4.4,POINT (13952784.97602891 1225303.3116459686)
ISCBUL,611786451,2015.893266,2015,11,23,1,0,47,125.65,10.74,30.0,4.4,POINT (13987294.018174823 1202634.9108203864)
ISCBUL,611786859,2015.935664,2015,12,8,12,25,6,125.72,11.19,26.0,5.0,POINT (13995086.382530352 1253660.3632640482)
ISCBUL,614418368,2016.012917,2016,1,5,17,46,25,125.73,11.55,29.0,4.9,POINT (13996199.577438287 1294537.6877693073)
ISCBUL,616070713,2016.474636,2016,6,23,4,35,33,125.41,11.03,8.0,5.0,POINT (13960577.340384439 1235509.0659041181)
ISCGEM,2000002500,2016.973024,2016,12,23,2,23,39,125.68,11.46,71.0,5.5,POINT (13990633.602898624 1284313.500993085)
ISCBUL,617001394,2017.070871,2017,1,26,20,49,37,125.54,10.69,78.54,4.6,POINT (13975048.874187564 1196970.1664899823)
PIVS,3000041261,2017.929087,2017,12,6,2,48,22,125.66,11.14,18.0,5.4,POINT (13988407.213082757 1247987.012561637)
PIVS,3000041520,2018.099122,2018,2,6,4,18,25,125.98,11.42,9.0,4.1,POINT (14024029.450136604 1279770.4645072995)
ISCBUL,621308570,2018.601002,2018,8,8,8,46,23,125.64,11.33,53.0,5.0,POINT (13986180.82326689 1269550.9710396812)
ISCBUL,619109883,2019.134321,2019,2,19,0,38,52,125.45,11.18,0.0,4.4,POINT (13965030.12001617 1252525.6149128242)
ISCBUL,622044332,2019.180158,2019,3,7,18,11,0,125.65,10.77,88.0,4.7,POINT (13987294.018174823 1206034.207229132)
ISCBUL,622057340,2019.18036,2019,3,7,19,57,26,125.77,11.18,35.0,4.3,POINT (14000652.357070016 1252525.6149128242)
ISCBUL,622468171,2019.533925,2019,7,14,21,11,3,125.67,11.37,53.0,4.1,POINT (13989520.407990688 1274092.569493434)
ISCGEM,2000002656,2019.852686,2019,11,8,5,31,43,125.65,10.76,51.0,5.3,POINT (13987294.018174823 1204901.07085568)
ISCBUL,623232171,2019.959632,2019,12,17,6,22,35,125.68,11.41,53.0,4.4,POINT (13990633.602898624 1278634.8055764982)
ISCBUL,623193330,2019.962687,2019,12,18,9,8,25,125.95,11.07,35.0,4.7,POINT (14020689.865412807 1240045.958268184)
ISCBUL,626544976,2020.782197,2020,10,14,1,35,25,125.78,11.32,50.71,5.0,POINT (14001765.551977951 1268415.6707754876)
