Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
ISCBUL,8179055,2006.007744,2006,1,3,19,50,12,124.41,11.48,8.0,4.9,POINT (13849257.849591164 1286585.2602175798)
ISCBUL,8181946,2006.471592,2006,6,22,3,8,55,124.06,11.95,1.0,5.0,POINT (13810296.027813518 1340018.6136504756)
ISCBUL,8182625,2006.586371,2006,8,3,0,36,26,124.43,11.42,6.0,4.6,POINT (13851484.239407033 1279770.4645072995)
ISCBUL,8458336,2006.828547,2006,10,30,10,4,26,124.45,11.95,0.0,4.0,POINT (13853710.629222894 1340018.6136504756)
ISCBUL,8476333,2006.903024,2006,11,26,14,29,34,124.26,11.71,0.0,4.3,POINT (13832559.925972175 1312722.1424994597)
ISCBUL,10364613,2007.320489,2007,4,27,23,29,10,124.39,11.54,4.0,4.9,POINT (13847031.459775299 1293401.5054129816)
ISCBUL,10364676,2007.334596,2007,5,3,3,3,28,124.06,12.0,61.0,4.6,POINT (13810296.027813518 1345708.4084091089)
ISCBUL,10367198,2007.750474,2007,10,1,22,9,17,124.41,11.51,7.0,4.9,POINT (13849257.849591164 1289993.2011239135)
ISCBUL,10367727,2007.847838,2007,11,6,11,3,27,124.21,12.22,1.0,4.7,POINT (13826993.951432507 1370756.1083853391)
ISCBUL,12157282,2008.206647,2008,3,16,20,8,41,124.21,11.81,21.0,4.8,POINT (13826993.951432507 1324092.7634092178)
ISCBUL,12161116,2008.817289,2008,10,26,22,40,47,123.86,12.17,3.0,4.6,POINT (13788032.129654866 1365061.6340357058)
ISCBUL,12161569,2008.911873,2008,11,30,15,46,35,124.14,11.84,22.0,5.4,POINT (13819201.587076982 1327504.7572786147)
ISCBUL,11048731,2009.041407,2009,1,16,2,43,37,124.63,11.89,0.0,4.3,POINT (13873748.137565685 1333192.24655257)
PIVS,3000027310,2009.650374,2009,8,26,9,16,50,124.58,11.44,61.0,5.4,POINT (13868182.163026022 1282041.9025228235)
PIVS,3000028067,2010.170378,2010,3,4,4,30,56,123.93,12.05,2.0,5.1,POINT (13795824.494010393 1351399.2586692423)
ISCBUL,17241406,2010.314997,2010,4,25,23,22,24,124.33,11.65,25.0,5.0,POINT (13840352.290327704 1305901.7464425538)
ISCBUL,17243698,2010.756673,2010,10,4,4,27,14,124.34,11.69,44.0,4.3,POINT (13841465.485235635 1310448.5130414972)
ISCBUL,602975917,2011.132951,2011,2,18,12,39,5,124.3,11.63,8.57,4.7,POINT (13837012.705603905 1303628.608700294)
ISCBUL,601886436,2011.472697,2011,6,22,12,49,31,124.11,12.23,32.0,4.8,POINT (13815862.002353182 1371895.1322633934)
ISCBUL,601887189,2011.560124,2011,7,24,10,40,58,124.3,11.83,96.0,4.8,POINT (13837012.705603905 1326367.3844229558)
PIVS,3000030239,2011.807153,2011,10,22,14,39,45,123.97,12.03,2.0,4.2,POINT (13800277.273642125 1349122.791602568)
PIVS,3000031321,2012.506735,2012,7,4,23,19,29,124.38,11.52,3.0,5.4,POINT (13845918.264867367 1291129.2621277738)
