Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
ISCBUL,8181054,2006.311881,2006,4,24,20,4,40,125.06,11.54,1.0,4.0,POINT (13921615.518606793 1293401.5054129816)
ISCBUL,8183170,2006.678732,2006,9,5,17,41,29,125.17,11.38,121.0,4.6,POINT (13933860.662594052 1275228.068642983)
PIVS,3000023848,2006.680063,2006,9,6,5,21,6,125.29,12.01,12.0,5.0,POINT (13947219.001489248 1346846.4938698087)
ISCBUL,8183291,2006.698086,2006,9,12,19,13,58,125.62,11.52,19.0,4.9,POINT (13983954.433451025 1291129.2621277738)
ISCBUL,10364010,2007.228457,2007,3,25,9,16,47,125.41,11.87,29.0,4.9,POINT (13960577.340384439 1330917.1256930395)
PIVS,3000024488,2007.287183,2007,4,15,19,43,31,124.87,11.54,17.0,4.6,POINT (13900464.815356072 1293401.5054129816)
ISCBUL,10366202,2007.567061,2007,7,26,23,27,22,125.38,11.4,14.0,5.1,POINT (13957237.755660638 1277499.1866471162)
ISCBUL,10367817,2007.868327,2007,11,13,22,32,41,125.29,11.8,1.0,4.8,POINT (13947219.001489248 1322955.5151757807)
PIVS,3000025493,2008.245838,2008,3,31,5,20,34,125.48,11.81,14.0,4.8,POINT (13968369.704739967 1324092.7634092178)
ISCBUL,12158504,2008.370046,2008,5,15,19,22,8,125.07,11.46,26.0,4.9,POINT (13922728.713514727 1284313.500993085)
ISCBUL,301837525,2008.765435,2008,10,7,21,56,50,125.5,11.37,51.89,5.6,POINT (13970596.094555834 1274092.569493434)
PIVS,3000026517,2008.913411,2008,12,1,5,19,26,125.05,11.6,80.0,4.8,POINT (13920502.323698862 1300219.208188277)
ISCBUL,13542348,2009.309141,2009,4,23,20,4,34,125.28,11.83,32.0,4.8,POINT (13946105.806581313 1326367.3844229558)
ISCBUL,13542426,2009.321851,2009,4,28,11,24,51,125.07,11.3,35.0,4.5,POINT (13922728.713514727 1266145.1892046686)
ISCBUL,301874053,2009.434063,2009,6,8,10,23,26,125.72,11.88,36.0,4.2,POINT (13995086.382530352 1332054.6652393385)
ISCBUL,301880240,2009.705412,2009,9,15,11,24,43,125.7,11.77,36.0,4.4,POINT (13992859.992714487 1319544.0191171875)
ISCBUL,13545183,2009.850587,2009,11,7,11,8,33,124.98,11.85,0.0,4.7,POINT (13912709.959343333 1328642.1717503832)
PIVS,3000028090,2010.184248,2010,3,9,6,0,42,125.52,11.32,70.0,5.5,POINT (13972822.4843717 1268415.6707754876)
PIVS,3000028611,2010.550439,2010,7,20,21,50,34,125.25,11.69,23.0,5.4,POINT (13942766.221857514 1310448.5130414972)
ISCBUL,602975830,2011.127838,2011,2,16,15,51,24,125.64,11.82,31.98,4.2,POINT (13986180.82326689 1325230.0531457178)
ISCBUL,601884143,2011.135884,2011,2,19,14,20,30,124.97,11.39,8.0,4.9,POINT (13911596.7644354 1276363.6076817452)
ISCBUL,601886583,2011.498558,2011,7,1,23,22,3,125.32,12.04,48.0,4.4,POINT (13950558.586213043 1350261.003950255)
ISCBUL,603900116,2011.554186,2011,7,22,6,39,57,125.12,11.27,184.96,4.3,POINT (13928294.688054388 1262739.7636821903)
PIVS,3000030074,2011.61434,2011,8,13,5,37,15,125.41,11.62,30.0,5.1,POINT (13960577.340384439 1302492.101086989)
ISCBUL,601887905,2011.764441,2011,10,7,0,30,14,125.4,11.2,10.0,4.3,POINT (13959464.145476507 1254795.1507951724)
ISCBUL,601888346,2011.833717,2011,11,1,7,21,47,125.04,11.87,7.0,4.4,POINT (13919389.128790928 1330917.1256930395)
ISCBUL,605416362,2012.335224,2012,5,3,0,39,25,125.09,11.72,4.0,4.6,POINT (13924955.103330592 1313859.018899645)
PIVS,3000031434,2012.563827,2012,7,25,22,11,26,125.54,11.87,22.0,5.3,POINT (13975048.874187564 1330917.1256930395)
PIVS,3000032526,2013.050891,2013,1,19,13,48,4,125.45,11.4,52.0,5.8,POINT (13965030.12001617 1277499.1866471162)
ISCBUL,608363582,2013.310006,2013,4,24,3,39,15,125.61,11.83,25.05,4.3,POINT (13982841.238543093 1326367.3844229558)
ISCBUL,607730937,2013.358161,2013,5,11,17,29,23,124.96,11.97,23.0,4.5,POINT (13910483.569527464 1342294.4051961084)
PIVS,3000033186,2013.493625,2013,6,30,4,9,14,125.83,11.71,1.0,4.2,POINT (14007331.526517615 1312722.1424994597)
ISCBUL,607733978,2013.626201,2013,8,17,13,31,24,125.4,12.07,0.0,4.8,POINT (13959464.145476507 1353675.8953724483)
ISCBUL,610331671,2014.311515,2014,4,24,16,52,18,125.27,11.56,24.0,4.9,POINT (13944992.61167338 1295673.9106514426)
ISCBUL,610332277,2014.358012,2014,5,11,16,11,10,125.13,11.92,12.0,4.4,POINT (13929407.882962322 1336605.2414711197)
ISCBUL,611540244,2014.845324,2014,11,5,13,2,16,125.37,11.41,32.0,4.5,POINT (13956124.560752708 1278634.8055764982)
PIVS,3000036326,2015.078051,2015,1,29,11,43,32,125.44,11.8,90.0,4.3,POINT (13963916.925108237 1322955.5151757807)
PIVS,3000037322,2015.720321,2015,9,20,22,0,29,125.3,11.37,66.0,4.3,POINT (13948332.196397178 1274092.569493434)
ISCBUL,614418368,2016.012917,2016,1,5,17,46,25,125.73,11.55,29.0,4.9,POINT (13996199.577438287 1294537.6877693073)
ISCBUL,614421083,2016.238374,2016,3,28,11,35,46,125.49,11.85,112.0,4.5,POINT (13969482.8996479 1328642.1717503832)
PIVS,3000039051,2016.89196,2016,11,23,8,23,2,125.75,12.01,52.0,4.5,POINT (13998425.96725415 1346846.4938698087)
ISCGEM,2000002500,2016.973024,2016,12,23,2,23,39,125.68,11.46,71.0,5.5,POINT (13990633.602898624 1284313.500993085)
ISCBUL,620447336,2018.058495,2018,1,22,8,25,4,125.77,11.91,28.0,4.5,POINT (14000652.357070016 1335467.5346307282)
ISCBUL,621308570,2018.601002,2018,8,8,8,46,23,125.64,11.33,53.0,5.0,POINT (13986180.82326689 1269550.9710396812)
ISCBUL,619109883,2019.134321,2019,2,19,0,38,52,125.45,11.18,0.0,4.4,POINT (13965030.12001617 1252525.6149128242)
ISCBUL,622130928,2019.262783,2019,4,6,21,58,43,125.77,11.81,50.0,5.4,POINT (14000652.357070016 1324092.7634092178)
ISCGEM,2000002703,2019.307492,2019,4,23,5,37,52,125.13,11.76,64.1,6.5,POINT (13929407.882962322 1318406.936519377)
ISCBUL,622468171,2019.533925,2019,7,14,21,11,3,125.67,11.37,53.0,4.1,POINT (13989520.407990688 1274092.569493434)
ISCBUL,623232171,2019.959632,2019,12,17,6,22,35,125.68,11.41,53.0,4.4,POINT (13990633.602898624 1278634.8055764982)
ISCBUL,623979804,2020.185753,2020,3,9,4,6,36,125.77,11.86,26.26,5.1,POINT (14000652.357070016 1329779.6278759574)
