Agency,eventID,date,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,geometry
PIVS,3000007023,1983.297995,1983,4,19,18,26,24,123.28,12.31,33.0,3.4,POINT (13723466.824994767 1381008.877762543)
PIVS,3000007449,1983.594103,1983,8,5,20,20,16,123.2,12.34,30.0,3.1,POINT (13714561.265731303 1384427.2472995736)
ISCGEM,2000000988,1984.064705,1984,1,24,17,55,32,123.83,12.38,14.1,5.8,POINT (13784692.544931067 1388985.6826554562)
PIVS,3000008207,1984.28852,1984,4,15,21,17,14,121.98,13.15,39.0,4.7,POINT (13578751.486963509 1476874.6201055418)
PIVS,3000008272,1984.370325,1984,5,15,21,49,30,122.14,13.62,28.0,3.6,POINT (13596562.605490435 1530655.829075871)
ISCBUL,301160430,1984.400872,1984,5,27,2,52,34,124.31,12.22,10.0,4.9,POINT (13838125.900511838 1370756.1083853391)
PIVS,3000008381,1984.484089,1984,6,26,15,51,25,123.47,12.87,33.0,3.3,POINT (13744617.528245488 1444883.9531622932)
PIVS,3000008403,1984.530118,1984,7,13,13,16,46,123.1,12.92,116.0,4.0,POINT (13703429.316651976 1450593.9296631785)
PIVS,3000008524,1984.704494,1984,9,15,13,10,58,122.47,12.82,33.0,3.3,POINT (13633298.037452213 1439175.1150377684)
PIVS,3000008553,1984.7352,1984,9,26,19,38,41,123.26,12.19,60.0,3.9,POINT (13721240.435178902 1367339.2949191858)
PIVS,3000008575,1984.764565,1984,10,7,14,17,28,123.33,12.73,33.0,3.1,POINT (13729032.79953443 1428902.0598046044)
ISCBUL,301142907,1984.863054,1984,11,12,17,46,44,122.49,13.53,14.0,4.9,POINT (13635524.427268079 1520349.1410483096)
PIVS,3000008929,1985.402075,1985,5,27,18,10,42,122.4,13.2,33.0,3.1,POINT (13625505.673096687 1482591.0604277705)
PIVS,3000009089,1985.787775,1985,10,15,12,54,28,122.2,13.6,33.0,3.4,POINT (13603241.77493803 1528365.1158970073)
ISCBUL,301169377,1985.870477,1985,11,14,17,22,31,122.56,13.56,14.0,4.9,POINT (13643316.79162361 1523784.2695409497)
PIVS,3000009169,1985.947992,1985,12,13,0,24,48,124.0,12.0,33.0,4.2,POINT (13803616.858365921 1345708.4084091089)
ISCBUL,607896,1986.060942,1986,1,23,5,51,3,122.26,12.78,33.0,5.3,POINT (13609920.944385627 1434608.8609436317)
PIVS,3000009248,1986.25293,1986,4,3,7,40,5,122.45,13.2,84.0,0.0,POINT (13631071.64763635 1482591.0604277705)
PIVS,3000009283,1986.353132,1986,5,9,21,26,14,123.3,12.2,33.0,3.8,POINT (13725693.21481063 1368478.189751179)
PIVS,3000009372,1986.554027,1986,7,22,5,16,50,122.2,13.3,33.0,3.4,POINT (13603241.77493803 1494027.456418502)
PIVS,3000009419,1986.749436,1986,10,1,13,3,43,123.4,13.0,33.0,3.1,POINT (13736825.16388996 1459732.2718804977)
PIVS,3000009448,1986.846898,1986,11,6,2,49,45,122.3,13.3,33.0,3.1,POINT (13614373.724017357 1494027.456418502)
PIVS,3000009516,1987.03004,1987,1,11,23,8,55,122.3,12.9,33.0,4.0,POINT (13614373.724017357 1448309.8021502944)
PIVS,3000009528,1987.062317,1987,1,23,17,53,46,123.0,12.6,78.0,4.9,POINT (13692297.36757265 1414069.6296580832)
PIVS,3000009606,1987.207028,1987,3,17,13,34,9,121.9,13.3,50.0,3.4,POINT (13569845.927700048 1494027.456418502)
PIVS,3000009831,1987.8451,1987,11,5,11,4,33,122.6,12.6,76.0,3.6,POINT (13647769.571255341 1414069.6296580832)
PIVS,3000010011,1988.358649,1988,5,11,14,58,36,123.6,12.3,33.0,3.4,POINT (13759089.062048612 1379869.5080911645)
PIVS,3000010165,1988.783528,1988,10,14,13,19,2,121.8,13.3,33.0,3.3,POINT (13558713.978620721 1494027.456418502)
PIVS,3000010409,1989.128893,1989,2,17,1,6,10,122.4,12.7,33.0,3.3,POINT (13625505.673096687 1425478.5194031536)
PIVS,3000010473,1989.422259,1989,6,4,2,59,21,122.42,13.51,33.0,3.9,POINT (13627732.06291255 1518059.2958856097)
PIVS,3000010330,1989.919719,1989,12,2,16,44,9,123.74,12.01,33.0,4.0,POINT (13774673.79075967 1346846.4938698087)
PIVS,3000011330,1990.840109,1990,11,3,15,21,1,122.22,12.9,23.0,5.4,POINT (13605468.164753897 1448309.8021502944)
ISCBUL,301270053,1991.234755,1991,3,27,16,27,3,123.55,12.48,35.0,5.0,POINT (13753523.087508949 1400384.832675118)
ISCBUL,301352639,1991.307173,1991,4,23,2,50,22,123.35,12.93,24.32,5.6,POINT (13731259.189350294 1451736.0619912092)
PIVS,3000012438,1992.171484,1992,3,3,22,25,45,124.24,12.29,25.0,4.1,POINT (13830333.53615631 1378730.1817769124)
PIVS,3000012440,1992.174169,1992,3,4,22,4,58,123.61,11.94,11.0,5.0,POINT (13760202.256956546 1338880.7809432405)
PIVS,3000012445,1992.178971,1992,3,6,16,22,21,122.66,13.1,16.0,4.5,POINT (13654448.740702936 1471159.3451232626)
PIVS,3000012611,1992.527535,1992,7,12,14,31,27,121.8,13.48,16.0,4.1,POINT (13558713.978620721 1514624.8881119674)
PIVS,3000012808,1992.892617,1992,11,23,14,10,0,123.3,12.88,9.0,4.6,POINT (13725693.21481063 1446025.8572386927)
PIVS,3000012928,1993.269863,1993,4,9,12,0,14,122.71,13.29,23.0,4.8,POINT (13660014.7152426 1492883.6050861836)
PIVS,3000012944,1993.339511,1993,5,4,22,7,1,123.31,12.97,18.0,4.5,POINT (13726806.409718566 1456305.0493446474)
PIVS,3000012948,1993.345417,1993,5,7,1,51,24,122.93,12.69,17.0,5.0,POINT (13684505.003217122 1424337.429086476)
ISCBUL,311995,1993.389647,1993,5,23,5,18,21,122.28,13.72,10.0,4.5,POINT (13612147.334201492 1542112.3074558843)
PIVS,3000013082,1993.684821,1993,9,7,23,1,58,124.29,12.2,22.0,4.9,POINT (13835899.510695972 1368478.189751179)
PIVS,3000013173,1993.907711,1993,11,28,7,33,9,123.64,12.35,15.0,4.5,POINT (13763541.841680344 1385566.7907796283)
PIVS,3000013352,1994.317181,1994,4,26,18,30,21,123.24,12.89,26.0,4.3,POINT (13719014.045363033 1447167.8068885508)
PIVS,3000013586,1994.768388,1994,10,8,11,4,52,123.81,12.29,14.0,4.4,POINT (13782466.155115202 1378730.1817769124)
PIVS,3000013718,1994.91732,1994,12,1,19,43,29,123.58,12.53,10.0,4.6,POINT (13756862.672232747 1406086.0568924842)
ISCBUL,301308504,1995.145466,1995,2,23,2,16,57,122.46,12.63,35.0,4.8,POINT (13632184.84254428 1417491.8275866346)
PIVS,3000014423,1995.656598,1995,8,28,15,47,43,124.1,12.27,31.0,4.5,POINT (13814748.807445249 1376451.6590677854)
PIVS,3000014672,1996.207655,1996,3,17,5,1,45,122.04,13.42,2.0,4.2,POINT (13585430.656411108 1507757.3646088555)
ISCBUL,301330623,1996.212653,1996,3,19,1,2,45,123.32,12.91,13.0,4.9,POINT (13727919.604626495 1449451.8430623563)
ISCBUL,301346151,1996.21953,1996,3,21,13,36,58,122.78,12.7,19.0,4.7,POINT (13667807.079598129 1425478.5194031536)
PIVS,3000014902,1996.470359,1996,6,21,14,55,11,122.82,13.04,18.0,4.4,POINT (13672259.859229859 1464302.5465990207)
ISCBUL,301525221,1996.473667,1996,6,22,20,3,23,124.07,11.99,10.0,4.5,POINT (13811409.22272145 1344570.3651684555)
ISCBUL,301336700,1996.549863,1996,7,20,19,11,20,123.5,12.45,35.0,4.9,POINT (13747957.112969287 1396964.62695844)
ISCBUL,1142366,1996.55637,1996,7,23,4,30,33,123.32,12.11,0.0,4.8,POINT (13727919.604626495 1358229.6788994707)
ISCBUL,1162594,1996.731176,1996,9,25,8,11,48,124.17,12.36,0.0,4.1,POINT (13822541.171800781 1386706.3778069292)
ISCBUL,1179974,1996.871989,1996,11,16,0,28,58,123.07,13.17,0.0,4.3,POINT (13700089.731928179 1479161.056123242)
